Name or Synonym,RID,Parent RID
herbal agent,RID11219,RID11211
bletilla striata,RID11220,RID11219
image processing attribute,RID11221,RID35976
gating time frame,RID11222,RID11221
prospective gating,RID11223,RID11222
retrospective gating,RID11224,RID11222
volume rendering method,RID11225,RID11221
orthographic volume rendering,RID11226,RID11225
perspective volume rendering,RID11227,RID11225
image display format,RID11229,RID11221
film-based images,RID11230,RID11229
digital image display,RID11231,RID11229
digital images displayed on a computer screen,RID11232,RID11231
printed digital images,RID11233,RID11231
images printed on film,RID11234,RID11233
images printed on paper,RID11235,RID11233
motion artifact reduction method,RID11236,RID11221
breathing control,RID11237,RID11236
spirometry breathing control,RID11238,RID11237
LED breathing control,RID11239,RID11237
triggering,RID11240,RID11236
respiratory triggering,RID11241,RID11236
diaphragm navigator echo,RID11242,RID11241
bellows,RID11243,RID11241
nasal sensor,RID11244,RID11241
cardiac triggering,RID11245,RID11236
gating,RID11246,RID11236
respiratory gating,RID11247,RID11246
cardiac gating,RID11248,RID11246
peripheral pulse gating,RID11249,RID11248
EKG gating,RID11250,RID11248
cardiac navigator echo,RID11252,RID11248
imaging error,RID11254,RID35976
marker error,RID11255,RID28543
incorrect markers,RID11256,RID11255
incorrect marker orientation,RID11257,RID11255
no marker,RID11258,RID11255
PACS error,RID11259,RID28543
images under wrong exam,RID11260,RID11259
missing exam,RID11261,RID11259
missing images,RID11262,RID11259
unavailable exam,RID11263,RID11259
patient data error,RID11264,RID28543
incorrect accession number,RID11265,RID11264
incorrect number of images,RID11266,RID11264
incorrect patient ID,RID11267,RID11264
incorrect patient name,RID11268,RID11264
mismatch order to exam performed,RID11269,RID11264
multiple studies same accession number,RID11270,RID11264
uncompleted exam in RIS,RID11271,RID11264
wrong demographics,RID11272,RID11264
image defect,RID11273,RID11254
overexposure,RID11274,RID28544
underexposure,RID11277,RID28544
noisy image,RID11280,RID11273
suboptimal patient positioning,RID11281,RID28543
clipped or missing marker,RID11282,RID11255
plate erasure,RID11283,RID28543
image processing failure,RID11284,RID11254
incorrect filter applied,RID11285,RID11284
double exposure,RID11286,RID28544
noise artifact,RID11287,RID11296
protocol error,RID11288,RID28543
incorrect protocol,RID11289,RID11288
incomplete protocol,RID11290,RID11288
collimation error,RID11291,RID28543
undercollimation,RID11293,RID11291
overcollimation,RID11294,RID11291
inappropriate manual collimation,RID11295,RID11291
artifact,RID11296,RID11273
faulty instrument or use of instrument artifact,RID11297,RID11296
capture equipment failure,RID11298,RID11297
xray equipment failure,RID11299,RID11297
plate-reader artifact,RID11300,RID11297
patient artifact,RID11301,RID11296
anatomic artifact,RID11302,RID11301
intervening anatomic structure,RID11303,RID11302
body habitus artifact,RID11304,RID11302
large body habitus artifact,RID11305,RID11304
